request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.0,2025-08-03,none,"Pay IDR 15,656,000.0 today. This keeps the IDR 24,768,300.0 minimum protected over the next 90 days."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.0,2026-07-05,none,"Pay ZAR 6,670.0 today. This keeps the ZAR 20,500.0 minimum protected over the next 90 days."
request_28,689.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1,100.0 minimum protected."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524.0,2025-11-04,none,"Pay ZAR 51,524.0 today. This keeps the ZAR 28,300.0 minimum protected over the next 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use 3 installments starting 2026-04-06. This completes the USD 775.2 request and keeps the USD 900.0 minimum protected.
request_31,13840360.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the IDR 16,588,900.0 minimum protected."
request_32,33305.8,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the ZAR 35,700.0 minimum protected."
request_33,65180.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the INR 102,100.0 minimum protected."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.0,2024-12-04,none,"Pay INR 129,400.0 today. This keeps the INR 138,500.0 minimum protected over the next 90 days."
request_35,125130.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the INR 106,400.0 minimum protected."
request_36,1446.6,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-15. None of the available options keeps the USD 2,400.0 minimum protected."
request_37,12068800.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-15. None of the available options keeps the IDR 17,056,200.0 minimum protected."
request_38,379.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-10-15. None of the available options keeps the EUR 400.0 minimum protected.
request_39,203105.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-15. None of the available options keeps the INR 213,400.0 minimum protected."
request_40,851.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1,500.0 minimum protected."
request_41,21888950.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the IDR 25,366,600.0 minimum protected."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100.0,2026-01-05,none,"Pay INR 52,100.0 today. This keeps the INR 113,100.0 minimum protected over the next 90 days."
request_43,13988750.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the IDR 21,398,000.0 minimum protected."
request_44,74560.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the INR 82,900.0 minimum protected."
request_45,8833100.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-15. None of the available options keeps the IDR 11,149,800.0 minimum protected."
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714.0|2024-12-31:25714.0,2024-12-03,none,"Use 2 installments starting 2024-12-03. This completes the INR 49,450.0 request and keeps the INR 84,000.0 minimum protected."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000.0,2025-05-05,none,"Pay IDR 38,114,000.0 today. This keeps the IDR 30,049,000.0 minimum protected over the next 90 days."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700.0,2026-07-25,none,"Pay INR 45,700.0 today. This keeps the INR 71,300.0 minimum protected over the next 90 days."
